,team_name,Section,Year,medal_awarded,award,wiki_link
83,Leiden,Overgrad,2018,Gold,"Nominated for Best Therapeutics Project, Overgrad",http://2018.igem.org/Team:Leiden
84,Leiden,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:Leiden
85,Leiden,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Leiden
86,Leiden,Overgrad,2018,Gold,"Best Model, Overgrad",http://2018.igem.org/Team:Leiden
87,Leiden,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Leiden
88,Leiden,Overgrad,2018,Gold,"Nominated for Best Entrepreneurship, Overgrad",http://2018.igem.org/Team:Leiden
89,Leiden,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Leiden
90,Lethbridge,Overgrad,2018,Gold,,http://2018.igem.org/Team:Lethbridge
91,Lund,Overgrad,2018,Gold,,http://2018.igem.org/Team:Lund
92,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:LZU-CHINA
93,LZU-CHINA,Undergrad,2018,Gold,Best New Composite Part,http://2018.igem.org/Team:LZU-CHINA
94,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:LZU-CHINA
95,LZU-CHINA,Undergrad,2018,Gold,Nominated for Best Part Collection,http://2018.igem.org/Team:LZU-CHINA
96,Marburg,Overgrad,2018,Gold,"Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:Marburg
97,Marburg,Overgrad,2018,Gold,"Nominated for Best Foundational Advance Project, Overgrad",http://2018.igem.org/Team:Marburg
98,Marburg,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:Marburg
99,Marburg,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:Marburg
100,Marburg,Overgrad,2018,Gold,"Best Poster, Overgrad",http://2018.igem.org/Team:Marburg
101,Marburg,Overgrad,2018,Gold,"Nominated for Best Poster, Overgrad",http://2018.igem.org/Team:Marburg
102,Marburg,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:Marburg
103,Marburg,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Marburg
104,Marburg,Overgrad,2018,Gold,"Nominated for Best Model, Overgrad",http://2018.igem.org/Team:Marburg
105,Marburg,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:Marburg
106,Marburg,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:Marburg
107,Marburg,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:Marburg
108,Marburg,Overgrad,2018,Gold,"Best Part Collection, Overgrad",http://2018.igem.org/Team:Marburg
109,Marburg,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Marburg
110,Mingdao,High_school,2018,Gold,"Nominated for Best New Basic Part, High_school",http://2018.igem.org/Team:Mingdao
111,Mingdao,High_school,2018,Gold,"Nominated for Best Part Collection, High_school",http://2018.igem.org/Team:Mingdao
112,Montpellier,Overgrad,2018,Gold,"Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Montpellier
113,Montpellier,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Montpellier
114,Nanjing-China,Undergrad,2018,Gold,,http://2018.igem.org/Team:Nanjing-China
115,NAU-CHINA,Undergrad,2018,Gold,,http://2018.igem.org/Team:NAU-CHINA
116,NCHU_Taichung,Undergrad,2018,Gold,,http://2018.igem.org/Team:NCHU_Taichung
117,NCKU_Tainan,Undergrad,2018,Gold,Best Environment Project,http://2018.igem.org/Team:NCKU_Tainan
118,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Environment Project,http://2018.igem.org/Team:NCKU_Tainan
119,NCKU_Tainan,Undergrad,2018,Gold,Best Presentation,http://2018.igem.org/Team:NCKU_Tainan
120,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Presentation,http://2018.igem.org/Team:NCKU_Tainan
121,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:NCKU_Tainan
122,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:NCKU_Tainan
123,NCKU_Tainan,Undergrad,2018,Gold,Nominated for Best Hardware,http://2018.igem.org/Team:NCKU_Tainan
124,NEFU_China,Undergrad,2018,Gold,Best Information Processing Project,http://2018.igem.org/Team:NEFU_China
125,NEFU_China,Undergrad,2018,Gold,Nominated for Best Information Processing Project,http://2018.igem.org/Team:NEFU_China
126,NEU_China_A,Undergrad,2018,Gold,,http://2018.igem.org/Team:NEU_China_A
127,Newcastle,Overgrad,2018,Gold,"Nominated for Best Measurement, Overgrad",http://2018.igem.org/Team:Newcastle
128,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:NKU_CHINA
129,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best Model,http://2018.igem.org/Team:NKU_CHINA
130,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Basic Part,http://2018.igem.org/Team:NKU_CHINA
131,NKU_CHINA,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:NKU_CHINA
132,Nottingham,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:Nottingham
