,team_name,Section,Year,medal_awarded,award,wiki_link
267,UPF_CRG_Barcelona,Undergrad,2018,Gold,Nominated for Best New Composite Part,http://2018.igem.org/Team:UPF_CRG_Barcelona
268,Uppsala,Overgrad,2018,Gold,,http://2018.igem.org/Team:Uppsala
269,Valencia_UPV,Undergrad,2018,Gold,Best New Application Project,http://2018.igem.org/Team:Valencia_UPV
270,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best New Application Project,http://2018.igem.org/Team:Valencia_UPV
271,Valencia_UPV,Undergrad,2018,Gold,Best Wiki,http://2018.igem.org/Team:Valencia_UPV
272,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Wiki,http://2018.igem.org/Team:Valencia_UPV
273,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Poster,http://2018.igem.org/Team:Valencia_UPV
274,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Education & Public Engagement,http://2018.igem.org/Team:Valencia_UPV
275,Valencia_UPV,Undergrad,2018,Gold,Best Model,http://2018.igem.org/Team:Valencia_UPV
276,Valencia_UPV,Undergrad,2018,Gold,Nominated for Best Model,http://2018.igem.org/Team:Valencia_UPV
277,Valencia_UPV,Undergrad,2018,Gold,Best Software Tool,http://2018.igem.org/Team:Valencia_UPV
