School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Field Measurement,Community Event,"General Public, Specialized Audience",Gain Information for iGEM Project,Assessed uranium contamination in a nearby river
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Integrated Human Practices,Visit to 311 Brigade,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted experts to learn about the current methods of handling uranium contamination, and about ways in which their iGEM project could be useful "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Consultation with Several Clinicians,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted with several clinicians about TB treatment and testing and received advice on the iGEM project
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Consultation with Patenting Experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Wrote a report on the economics and patenting of their project following a consultation with Dr. GuangKuang
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Ethics Discussion with Bioethicist,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted with the professor at the Institute of Medical Humanities of Peking University about ethical issues surrounding their project
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Economic Assessment of Device,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted with the director at Center Lab at the Beijing Institute for Tuberculosis about tuberculosis testing and their iGEM project
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Integrated Human Practices,Consult Experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted with professors on how to best design iGEM project
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Brochure,Educational Material,General Public,"Educate on Synthetic Biology, Educate on iGEM Program","Designed a brochure for the general public on iGEM, synthetic biology and uranium concentration"
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,TB Pamphlet,Educational Material,General Public,Educate on Synthetic Biology,
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,Student Visit to iGEM Lab,"Open Lab, Teaching Activity","Primary School Students, Secondary School Students","Educate on Synthetic Biology, Science Education",Lectured primary and high school students on synthetic biology
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Questionnaire,Survey,General Public,Learn Public Opinion,Conducted a survey to determine the general public's awareness and opinion on uranium contamination and on synthetic biology
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,Questionnaire,Survey,General Public,Learn Public Opinion,Surveyed the public on synthetic biology and tuberculosis awareness
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Summer Camp,Teaching Activity,"Secondary School Students, Primary School Students","Educate on Synthetic Biology, Educate on iGEM Program, Science Education","Educated middle school age summer camp students on synthetic biology, basic lab techniques and iGEM "
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Integrated Human Practices,Meetings with Professors,Consult Experts,Professors,Gain Information for iGEM Project,Talked to professors in the geology department to discuss the design of an iGEM project that could be of most use to the industry
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Camp BioE,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited Nuclear Geology 311 Brigade to learn about modern methods of handling uranium contamination
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,TechBio and DiSCoBio,Teaching Activity,"Secondary School Students, University Students","Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited Camp BioE on DNA day to educate 4 groups of middle and high school students on synthetic biology
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Carnegie Science Center,Teaching Activity,General Public,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited the Carnegie Science Center to teach guests about lead and aluminum water poisoning
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Pittsburgh Public Schools,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited local high school and prepared a presentation on synthetic biology
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Integrated Human Practices,Consultation with IP experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Discussed patenting the team's iGEM project with experts in commercialization and patenting
